"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2025","41.4030","41.1503","41.4030","41.1503","","0.25%"
"10/06/2025","41.3000","41.3500","41.4420","41.1880","","-0.12%"
"10/03/2025","41.3500","41.0859","41.3708","41.0455","","0.64%"
"10/02/2025","41.0859","41.2372","41.3520","41.0680","","-0.37%"
"10/01/2025","41.2372","41.1262","41.3353","41.0750","","0.27%"
"09/30/2025","41.1262","41.2608","41.3938","41.0255","","-0.33%"
"09/29/2025","41.2608","41.3750","41.4558","41.2250","","-0.25%"
"09/26/2025","41.3658","41.4901","41.5534","41.2905","","-0.30%"
"09/25/2025","41.4901","41.4563","41.5439","41.3250","","0.08%"
"09/24/2025","41.4563","41.4189","41.5083","41.2890","","0.09%"
"09/23/2025","41.4189","41.3507","41.4626","41.2773","","0.16%"
"09/22/2025","41.3507","41.3500","41.4668","41.2675","","-0.08%"
"09/19/2025","41.3857","41.1013","41.4157","41.0735","","0.69%"
"09/18/2025","41.1013","41.2160","41.6435","41.0675","","-0.28%"
"09/17/2025","41.2160","41.2080","41.2748","41.0845","","0.02%"
"09/16/2025","41.2080","41.2545","41.2731","41.0600","","-0.11%"
"09/15/2025","41.2545","41.3010","41.3519","41.0730","","0.01%"
"09/12/2025","41.2500","41.3700","41.4289","41.1795","","-0.33%"
"09/11/2025","41.3877","41.2500","41.3935","41.1950","","0.21%"
"09/10/2025","41.3000","41.1750","41.3214","41.1105","","-0.12%"
"09/09/2025","41.3500","41.1725","41.3500","41.0063","","0.40%"
"09/08/2025","41.1850","41.3500","41.4000","41.0455","","-0.04%"
"09/05/2025","41.2005","41.3175","41.4108","41.1868","","-0.36%"
"09/04/2025","41.3500","41.3500","41.4457","41.2458","","0.00%"
"09/03/2025","41.3500","41.4250","41.4830","41.2750","","-0.19%"
"09/02/2025","41.4300","41.3400","41.4570","41.2570","","0.29%"
"09/01/2025","41.3100","41.3175","41.6501","41.2045","","-0.07%"
"08/29/2025","41.3400","41.2875","41.4360","41.2330","","0.08%"
"08/28/2025","41.3050","41.3500","41.4320","41.2061","","-0.15%"
"08/27/2025","41.3650","41.3255","41.4329","41.2318","","0.04%"
"08/26/2025","41.3500","41.3500","41.4781","41.2725","","-0.13%"
"08/25/2025","41.4050","41.2500","41.4954","41.2500","","0.11%"
"08/22/2025","41.3600","41.2500","41.4020","41.1920","","0.27%"
"08/21/2025","41.2500","41.3000","41.4645","41.1751","","-0.10%"
"08/20/2025","41.2925","41.3500","41.5130","41.2475","","-0.15%"
"08/19/2025","41.3541","41.3150","41.4953","41.2590","","0.13%"
"08/18/2025","41.3000","41.2500","41.4659","41.1900","","-0.04%"
"08/15/2025","41.3175","41.4850","41.6256","41.2055","","-0.32%"
"08/14/2025","41.4500","41.5000","41.6526","41.3330","","0.02%"
"08/13/2025","41.4425","41.4950","41.6754","41.3480","","-0.14%"
"08/12/2025","41.5000","41.4100","41.6461","41.3275","","0.36%"
"08/11/2025","41.3500","41.6000","41.6331","41.3400","","-0.22%"
"08/08/2025","41.4400","41.4629","41.6345","41.1805","","-0.06%"
"08/07/2025","41.4629","41.6000","41.6705","41.4150","","-0.16%"
"08/06/2025","41.5300","41.6650","41.7595","41.4700","","-0.29%"
"08/05/2025","41.6500","41.7050","41.8031","41.6030","","-0.20%"
"08/04/2025","41.7350","41.8000","41.8754","41.5650","","-0.16%"
"08/01/2025","41.8000","41.7450","41.8358","41.6655","","0.24%"
"07/31/2025","41.7000","41.7400","41.8002","41.6155","","0.00%"
"07/30/2025","41.7000","41.7250","41.8502","41.6591","","-0.24%"
"07/29/2025","41.8000","41.7400","41.8453","41.6755","","0.10%"
"07/28/2025","41.7600","41.7250","41.8442","41.6655","","-0.01%"
"07/25/2025","41.7635","41.7250","41.8320","41.6855","","0.00%"
"07/24/2025","41.7650","41.7950","41.8573","41.6805","","-0.07%"
"07/23/2025","41.7925","41.7500","41.8545","41.6730","","0.08%"
"07/22/2025","41.7600","41.7500","41.8429","41.6420","","0.00%"
"07/21/2025","41.7600","41.7725","41.8651","41.6575","","-0.01%"
"07/18/2025","41.7650","41.7800","41.8745","41.6750","","0.04%"
"07/17/2025","41.7500","41.8850","41.9570","41.6800","","-0.36%"
"07/16/2025","41.9000","41.8000","41.9253","41.7005","","0.20%"
"07/15/2025","41.8150","41.8100","41.9001","41.7050","","0.00%"
"07/14/2025","41.8150","41.7950","41.9204","41.6505","","0.06%"
"07/11/2025","41.7900","41.7000","41.8553","41.6305","","-0.13%"
"07/10/2025","41.8450","41.7000","41.8841","41.6580","","0.11%"
"07/09/2025","41.8000","41.8150","41.8585","41.7130","","0.00%"
"07/08/2025","41.8000","41.8000","41.9328","41.6250","","-0.12%"
"07/07/2025","41.8500","41.7250","41.8932","41.6300","","0.29%"
"07/04/2025","41.7300","41.7500","41.8416","41.6250","","-0.10%"
"07/03/2025","41.7700","41.7250","41.8404","41.6105","","0.05%"
"07/02/2025","41.7500","41.8500","41.9070","41.6355","","-0.24%"
"07/01/2025","41.8500","41.7650","41.8906","41.6700","","0.20%"
"06/30/2025","41.7650","41.7250","41.8328","41.2550","","0.10%"
"06/27/2025","41.7250","41.5800","41.7459","41.5100","","0.40%"
"06/26/2025","41.5600","41.6250","41.7451","41.5295","","-0.18%"
"06/25/2025","41.6333","41.7300","41.7888","41.5100","","-0.33%"
"06/24/2025","41.7700","41.9150","41.9410","41.6170","","-0.36%"
"06/23/2025","41.9200","41.9350","41.9620","41.8060","","-0.04%"
"06/20/2025","41.9350","41.8100","41.9628","41.6305","","0.22%"
"06/19/2025","41.8433","41.7000","41.8538","41.5665","","0.31%"
"06/18/2025","41.7136","41.5700","41.7301","41.4556","","0.35%"
"06/17/2025","41.5700","41.5450","41.6123","41.4225","","-0.07%"
"06/16/2025","41.6000","41.5100","41.6426","41.3550","","0.28%"
"06/13/2025","41.4850","41.3900","41.5430","41.3145","","0.27%"
"06/12/2025","41.3750","41.5500","41.6224","41.3350","","-0.37%"
"06/11/2025","41.5300","41.5500","41.6304","41.4475","","-0.02%"
"06/10/2025","41.5400","41.5500","41.6213","41.4230","","0.02%"
"06/09/2025","41.5300","41.4752","41.6010","41.4068","","0.25%"
"06/06/2025","41.4263","41.5000","41.5548","41.3650","","0.00%"
"06/05/2025","41.4253","41.5500","41.6227","41.4038","","-0.29%"
"06/04/2025","41.5475","41.5250","41.6695","41.4345","","-0.02%"
"06/03/2025","41.5550","41.6600","41.7425","41.4650","","-0.31%"
"06/02/2025","41.6855","41.5500","41.6906","41.4905","","0.28%"
"05/30/2025","41.5700","41.5250","41.6423","41.4382","","0.12%"
"05/29/2025","41.5210","41.6000","41.6804","41.4480","","-0.03%"
"05/28/2025","41.5340","41.6400","41.7295","41.4705","","-0.25%"
"05/27/2025","41.6400","41.6010","41.7280","41.4605","","-0.02%"
"05/26/2025","41.6500","41.5200","41.6695","41.4120","","0.31%"
"05/23/2025","41.5200","41.4750","41.6195","41.3980","","0.05%"
"05/22/2025","41.5010","41.4650","41.6230","41.3725","","0.08%"
"05/21/2025","41.4675","41.4700","41.5939","41.3630","","-0.10%"
"05/20/2025","41.5100","41.5000","41.6270","41.3650","","0.02%"
"05/19/2025","41.5000","41.5000","41.6603","41.2550","","-0.06%"
"05/16/2025","41.5250","41.5000","41.6256","41.3806","","0.13%"
"05/15/2025","41.4700","41.5000","41.5995","41.3800","","-0.04%"
"05/14/2025","41.4875","41.5550","41.6420","41.3905","","-0.14%"
"05/13/2025","41.5450","41.4750","41.6295","41.3823","","0.08%"
"05/12/2025","41.5100","41.5550","41.6431","41.4050","","-0.10%"
"05/09/2025","41.5500","41.5500","41.6409","41.4005","","0.00%"
"05/08/2025","41.5510","41.5500","41.6403","41.3830","","0.21%"
"05/07/2025","41.4650","41.4150","41.5829","41.3155","","0.02%"
"05/06/2025","41.4550","41.5500","41.6150","41.2145","","-0.21%"
"05/05/2025","41.5425","41.6500","41.7320","41.4715","","0.13%"
"05/02/2025","41.4870","41.4870","41.7832","41.4495","","0.00%"
"05/01/2025","41.4870","41.4870","41.6850","41.4240","","0.00%"
"04/30/2025","41.4870","41.5500","41.6304","41.2550","","-0.25%"
"04/29/2025","41.5900","41.7000","41.7520","41.2550","","-0.24%"
"04/28/2025","41.6881","41.6750","41.8757","41.5825","","-0.30%"
"04/25/2025","41.8150","41.6750","41.8358","41.6055","","0.24%"
"04/24/2025","41.7151","41.7450","41.8173","41.5430","","-0.11%"
"04/23/2025","41.7600","41.5400","41.7855","41.4650","","0.37%"
"04/22/2025","41.6050","41.4100","41.6250","41.2650","","0.51%"
"04/21/2025","41.3940","41.3550","41.4738","41.2080","","0.20%"
"04/18/2025","41.3100","41.3650","41.4868","41.1488","","-0.19%"
"04/17/2025","41.3900","41.3050","41.4650","41.1600","","0.22%"
"04/16/2025","41.2992","41.2000","41.3531","41.0665","","0.34%"
"04/15/2025","41.1600","41.4500","41.4500","41.1576","","-0.22%"
"04/14/2025","41.2500","41.3550","41.4958","41.2451","","-0.17%"
"04/11/2025","41.3200","41.4500","41.5042","41.3370","","-0.24%"
"04/10/2025","41.4200","41.3100","41.4414","41.2000","","0.27%"
"04/09/2025","41.3100","41.2000","41.5012","41.1805","","0.36%"
"04/08/2025","41.1600","41.0800","41.1970","41.0660","","0.19%"
"04/07/2025","41.0800","41.1700","41.2500","41.0250","","-0.05%"
