num_disparities,block_size,time_ms,coverage_%
16,5,4.996538162231445,76.90234375
16,11,5.509614944458008,76.806640625
16,15,4.999399185180664,76.8310546875
16,21,5.998134613037109,76.17122395833333
32,5,3.506898880004883,76.1865234375
32,11,3.0040740966796875,76.12044270833334
32,15,3.000974655151367,76.05501302083333
32,21,5.201816558837891,75.91731770833333
64,5,3.0014514923095703,73.2041015625
64,11,5.510568618774414,74.47526041666667
64,15,4.001617431640625,74.994140625
64,21,2.5146007537841797,75.08561197916667
128,5,5.515336990356445,64.06477864583333
128,11,4.501819610595703,65.5048828125
128,15,5.005121231079102,66.04557291666666
128,21,5.511999130249023,66.11458333333333
