,precision,recall,f1-score,support
0,0.9959225280326198,0.996938775510204,0.9964303926568078,980.0
1,0.9955985915492958,0.9964757709251101,0.9960369881109643,1135.0
2,0.997090203685742,0.9961240310077519,0.9966068831798351,1032.0
3,0.993103448275862,0.998019801980198,0.9955555555555555,1010.0
4,0.9949186991869918,0.9969450101832994,0.9959308240081384,982.0
5,0.9921700223713646,0.9943946188340808,0.9932810750279956,892.0
6,0.9937304075235109,0.9926931106471816,0.9932114882506528,958.0
7,0.9961089494163424,0.9961089494163424,0.9961089494163424,1028.0
8,0.9958932238193019,0.9958932238193019,0.9958932238193019,974.0
9,0.997,0.9881070366699702,0.9925335988053758,1009.0
accuracy,0.9952,0.9952,0.9952,0.9952
macro avg,0.995153607386103,0.9951700328993439,0.995158897883097,10000.0
weighted avg,0.9952032604807131,0.9952,0.9951986975902031,10000.0
