true_digit,predicted_digit,count,percentage
9,4,5,10.416666666666666
6,0,4,8.333333333333334
9,5,4,8.333333333333334
5,3,3,6.25
7,1,3,6.25
1,3,3,6.25
3,5,2,4.166666666666667
4,6,2,4.166666666666667
9,8,2,4.166666666666667
2,7,2,4.166666666666667
0,6,2,4.166666666666667
2,1,1,2.0833333333333335
8,9,1,2.0833333333333335
8,3,1,2.0833333333333335
4,9,1,2.0833333333333335
6,1,1,2.0833333333333335
6,2,1,2.0833333333333335
6,8,1,2.0833333333333335
2,8,1,2.0833333333333335
5,9,1,2.0833333333333335
9,7,1,2.0833333333333335
0,7,1,2.0833333333333335
8,2,1,2.0833333333333335
1,6,1,2.0833333333333335
8,5,1,2.0833333333333335
7,2,1,2.0833333333333335
5,6,1,2.0833333333333335
